BL_Number,Truck_Appointment_Date,Site,Product_Group,Product_Code,Unit_Freight,Carrier_ID,pallet_count,pick_weight
B29A163,2023-03-04,AMJK,SW,ETK0802005000AM-40,11.06,TRAFFIX-AM,1,1280
B29A163,2023-03-04,AMJK,SW,PSB0381701476AM-48,11.06,TRAFFIX-AM,3,2196
B29A781,2023-04-11,AMJK,SW,AM1-19771,8.46,CAL-AM,5,5595
B31A717,2023-03-23,AMJK,SW,ELB0511979000AM-40,15.07,TRAFFIX-AM,8,11576
B31A809,2023-03-24,AMJK,SW,AM1-19755-5,10.68,DRAKE-AM,5,5420
B31A809,2023-03-24,AMJK,SW,HCB1001801000AM-64,10.68,DRAKE-AM,2,3686
B31D566,2023-03-28,AMJK,SW,EHG0632005000AM-50,9.1,PDI-AM,1,1260
B31D566,2023-03-28,AMJK,SW,ELB0511979000N297-40,9.1,PDI-AM,6,8682
B31F774,2023-03-08,AMJK,SW,ELB0401979000AM-40EX,8.75,GEODIS,8,9080
B32A136,2023-03-16,AMJK,SW,PSB0331701476AM-48,16.98,QTRBACK-AM,4,2544
B32A218,2023-04-17,AMJK,SW,EHB0631977500AM-40,10.19,CAL-AM,2,2978
B32A218,2023-04-17,AMJK,SW,EHB0701976500AM-40,10.19,CAL-AM,2,2868
B32A218,2023-04-17,AMJK,SW,ELB0631977500AM-40,10.19,CAL-AM,1,1489
B32A218,2023-04-17,AMJK,SW,EMB04219711000AM-40,10.19,CAL-AM,1,1456
B32A218,2023-04-17,AMJK,SW,PSB0301501476AM-168P,10.19,CAL-AM,20,8920
B32A244,2023-03-23,AMJK,SW,EHB0801976000AM-40,24.7,GILTNER-AM,2,3026
B32A244,2023-03-23,AMJK,SW,HSB0511601500M530-64,24.7,GILTNER-AM,2,2506
B33A069,2023-04-06,AMJK,SW,EPB1502003000AM-40,9.2,TRAFFIX-AM,2,2880
B33A069,2023-04-06,AMJK,SW,HLP115450450AM-64,9.2,TRAFFIX-AM,1,1204
B33A244,2023-04-26,AMJK,SW,ELB0701976500AM-40,11.1,CAL-AM,7,10038
B33A244,2023-04-26,AMJK,SW,HSB0631801500C150-48,11.1,CAL-AM,2,2612
B33A292,2023-04-11,AMJK,SW,ETL0802005000AM-40,22.85,GILTNER-AM,10,12800
B33A292,2023-04-11,AMJK,SW,HTK0651801500M530-48,22.85,GILTNER-AM,1,1348
B33A378,2023-04-26,AMJK,SW,CLS0381501476AM-144P,12.8,DRAKE-AM,9,4365
B33A674,2023-07-25,AMJK,SW,PSB0331501476AM-36,10.35,QTRBACK-AM,5,2105
B33A722,2023-04-25,AMJK,SW,HCB0801501500AM-48,7.15,CAL-AM,2,2764
B33A722,2023-04-25,AMJK,SW,HCB0801801500AM-48,7.15,CAL-AM,2,3318
B33A722,2023-04-25,AMJK,SW,HCB1201801000AM-48,7.15,CAL-AM,1,1659
B33A722,2023-04-25,AMJK,SW,HLB0451801500AM-64,7.15,CAL-AM,2,2488
B33A722,2023-04-25,AMJK,SW,HLP115400450AM-128P,7.15,CAL-AM,5,2670
B33A722,2023-04-25,AMJK,SW,HSB0631801500AM-64,7.15,CAL-AM,3,5226
B33A806,2023-04-20,AMJK,SW,HTR0801801500AM-48,32.53,GILTNER-AM,2,3318
B33A806,2023-04-20,AMJK,SW,PSB0301501968AM-126P,32.53,GILTNER-AM,6,2676
B33A806,2023-04-20,AMJK,SW,PSB0331501476M530-36,32.53,GILTNER-AM,2,842
B33B080,2023-03-27,AMJK,SW,EHB0801976000AM-40,6.43,DRAKE-AM,14,21182
B34A135,2023-05-04,AMJK,SW,EHB0902955000AM-20,12.3,GILTNER-AM,6,6372
B34A280,2023-05-24,AMJK,SW,ELB0632957500AM-20,6.1,CAL-AM,5,5575
B34A280,2023-05-24,AMJK,SW,PSB0381701476AM-48,6.1,CAL-AM,4,2928
B34A294,2023-08-11,AMJK,SW,AM1-19763,7.72,CHR-AM,4,4764
B34A294,2023-08-11,AMJK,SW,HCB0801201500AM-60,7.72,CHR-AM,1,1382
B34A294,2023-08-11,AMJK,SW,HCB0901801500AM-48,7.72,CHR-AM,2,3732
B34B272,2023-05-09,AMJK,SW,ELB0401979000AM-40EX,8.92,GEODIS,5,5675
B35A023,2023-05-30,AMJK,SW,EHG0632005000AM-50,18.62,CHR-AM,5,6300
B36A105,2023-07-18,AMJK,SW,EUL0802005000AM-40,7.91,CHR-AM,10,12800
B36A408,2023-07-25,AMJK,SW,PSB0251501968AM-126P,8.41,CAL-AM,14,5208
B36A678,2023-07-18,AMJK,SW,EHY0632005000A390-50,13.59,DRAKE-AM,1,1260
B36A678,2023-07-18,AMJK,SW,ELB0511979000AM-40,13.59,DRAKE-AM,2,2894
B36A678,2023-07-18,AMJK,SW,ELB0512959000AM-20,13.59,DRAKE-AM,5,5415
B36A678,2023-07-18,AMJK,SW,PSB0301701476AM-48,13.59,DRAKE-AM,2,1156
B37A002,2023-07-25,AMJK,SW,ELB0631977500AM-40,8.67,CAL-AM,6,8934
B37A002,2023-07-25,AMJK,SW,EMB0501979000AM-40,8.67,CAL-AM,2,2836
B37A002,2023-07-25,AMJK,SW,HLP100450450AM-64,8.67,CAL-AM,1,1070
B37A020,2023-09-01,AMJK,SW,ELB0471979000AM-40,10.55,PDI-AM,2,2666
