date,lmi_score,source_file
2025-01-01,62.0,lmi_jan_2025.txt
2025-02-01,62.8,lmi_Feb_2025.txt
2025-03-01,57.1,lmi_mar_2025.txt
2025-04-01,58.8,lmi_apr_2025.txt
2025-05-01,59.4,lmi_may_2025.txt
2025-06-01,60.7,lmi_jun_2025.txt
2025-07-01,59.2,lmi_jul_2025.txt
2025-08-01,59.3,lmi_aug_2025.txt
2025-09-01,57.4,lmi_sep_2025.txt
2025-10-01,57.4,lmi_oct_2025.txt
2025-11-01,55.7,lmi_nov_2025.txt
2025-12-01,54.2,lmi_dec_2025.txt
2026-01-01,59.6,January 2026 Logistics Managers Index - LOGISTICS MANAGERS INDEX.pdf
2026-02-01,61.5,February 2026 Logistics Managers Index - LOGISTICS MANAGERS INDEX.pdf
